platform,job_id,title,company,work_location,date_applied,job_link,experience_required,skills_required,application_type,questions_count,questions_answered_count,hard_disqualifier_flags_count
indeed,b2bc09408eb33da9,IT Technician,Firooz Dental,"North Vancouver, BC",2026-04-08 18:21:11,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,c3374135420d0156,Technical Support Analyst III,Family Insurance Solutions,"Vancouver, BC V6E 3P3",2026-04-08 18:22:09,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,5,In Development,unknown,0,0,0
indeed,bfb2922f48ceaf0f,user support technician,Edge Acoustics Ltd.,"Langley, BC V1M 3C9",2026-04-08 18:22:20,https://www.jobbank.gc.ca/jobsearch/jobposting/49205771,3,In Development,unknown,0,0,0
indeed,123a7f18c99cd001,IT Specialist / IT Analyst,Dan-D-Pak,"Richmond, BC V7A 4V1",2026-04-08 18:22:52,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,fed17119277b0931,IT Support & Systems Assistant – Construction Operations,WOW Electrical Corporation,"Richmond, BC V6V 1V2",2026-04-08 18:23:34,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,ce4a8742a03e8375,"Biomedical Remote Systems Administrator - Vancouver, B.C. area",Optum,"Vancouver, BC",2026-04-08 18:24:06,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,2,In Development,unknown,0,0,0
indeed,e0ae6dcb7cb14a12,user support technician,Great River Financial Services Inc,"Vancouver, BC",2026-04-08 18:24:12,https://www.jobbank.gc.ca/jobsearch/jobposting/49240318,3,In Development,unknown,0,0,0
indeed,a8c241e006077765,Support Engineer,Amazon Development Centre Canada ULC,"Vancouver, BC",2026-04-08 18:24:23,https://www.amazon.jobs/en/jobs/10386220/support-engineer?cmpid=DA_INAD200785B,2,In Development,unknown,0,0,0
indeed,cbda055b041092c5,Level 1 IT Support Specialist,Park West Professional Services,"Surrey, BC V3W 1J8",2026-04-08 18:25:01,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,cf42d7edb4a6a224,IT Specialist (Client-Facing),Smart Label Solutions Inc.,"Burnaby, BC",2026-04-08 18:26:49,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,2b24a81dcd090fa6,Technical Account Manager,Fortinet,"Burnaby, BC V5C 6C6",2026-04-08 18:29:40,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22500,Unknown,In Development,unknown,0,0,0
indeed,1a196b3fd31d6737,Desktop Systems Specialist I - ILM Vancouver,Disney,"Vancouver, BC",2026-04-08 18:39:30,https://jobs.disneycareers.com/job/vancouver/desktop-systems-specialist-i-ilm-vancouver/391/93685987264?codes=INDEED,2,In Development,unknown,0,0,0
indeed,dc4f246289e5fe98,Systems Administrator & Full-Stack Engineer,King Brand Healthcare Products Ltd,"North Vancouver, BC",2026-04-08 18:40:19,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,2a045e60324236c4,Service Technician,Precise ParkLink Inc.,"Burnaby, BC V5J 4M5",2026-04-08 18:40:50,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,Unknown,In Development,unknown,0,0,0
indeed,6540b97f39d2e538,Network Administrator,Terra Dygital Solutions Inc.,"Vancouver, BC",2026-04-08 18:41:00,https://terradygital.applytojobs.ca/vancouver/46668,3,In Development,unknown,0,0,0
indeed,ac7a30242a2616fb,Cloud Integration Engineer - Remote,Optum,"Vancouver, BC",2026-04-08 18:42:45,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,3,In Development,unknown,0,0,0
indeed,1d42b75b1c903aec,Junior AI Specialist,Fortinet,"Burnaby, BC V5C 6C6",2026-04-08 18:43:34,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22633,0,In Development,unknown,0,0,0
indeed,592860877deca6a7,Data Analyst - Game Development Analytics (TFT),Electronic Arts,"Vancouver, BC",2026-04-08 18:43:45,https://jobs.ea.com/en_US/careers/JobDetail/Data-Analyst-Game-Development-Analytics-TFT/213580?jobPipeline=Indeed,Unknown,In Development,unknown,0,0,0
indeed,39868a72654fc03f,"Workforce Analyst, Workforce Management Solutions",PHSA,"Burnaby, BC",2026-04-08 18:43:51,https://jobs.phsa.ca/job/workforce-analyst-workforce-management-solutions,Unknown,In Development,unknown,0,0,0
indeed,8beb2b6b131c8094,"Technical Assistant, Commercial Lines",SPG Canada,"Vancouver, BC V7Y 1K8",2026-04-08 18:46:45,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,1,In Development,unknown,0,0,0
indeed,7135e06d354575b4,user support technician,PDN EXPRESS CA LTD,"Richmond, BC V7A 4X1",2026-04-08 18:47:22,https://www.jobbank.gc.ca/jobsearch/jobposting/49240620,3,In Development,unknown,0,0,0
indeed,5a973e9c711cc394,business systems analyst,New Profession SVA Collision,"Richmond, BC V6V 1J5",2026-04-08 18:50:38,https://www.jobbank.gc.ca/jobsearch/jobposting/49207975,5,In Development,unknown,0,0,0
indeed,88491cc68a8ddacb,Information Security Analyst,Fraser Health,"Surrey, BC V3V 1Z2",2026-04-08 18:51:25,https://smartapply.indeed.com/beta/indeedapply/form/review-module,5,In Development,unknown,0,0,0
indeed,e8b39f9719470782,Technical Support Analyst (Tier 1),Motorola Solutions,"Vancouver, BC",2026-04-11 21:13:39,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Vancouver-Canada/Technical-Support-Analyst--Tier-1-_R63525?source=APPLICANT_SOURCE-6-250,1,In Development,unknown,0,0,0
indeed,d1320ec577ef6084,computer technician,EC Trading Inc.,"Delta, BC V3M 6M5",2026-04-11 21:13:46,https://www.jobbank.gc.ca/jobsearch/jobposting/49225679,1,In Development,unknown,0,0,0
indeed,f0a2b23bbe0cd173,Business Support Assistant,Simply Computing,"Vancouver, BC V6J 1X6",2026-04-11 21:14:40,https://smartapply.indeed.com/beta/indeedapply/form/resume-selection-module/resume-selection,2,In Development,unknown,0,0,0
indeed,ef0c67732794e9a8,Asset Information System Analyst 1 (6 month FTT),BC Hydro,"Burnaby, BC V3N 4X8",2026-04-11 21:14:48,https://app.bchydro.com/sap/bc/webdynpro/sap/hrrcf_a_posting_apply?PARAM=cG9zdF9pbnN0X2d1aWQ9M0ExODRDMTRBMTBCMUZEMThEQTVDMzJDMkNFOTQwNUYmY2FuZF90eXBlPUVYVA%3d%3d&sap-theme=sap_belize&sap-client=100&sap-language=EN&sap-accessibility=X&saml2=disabled&sap-theme=sap_belize&sap-wd-configid=ZHRRCF_A_UNREG_JOB_SEARCH,4,In Development,unknown,0,0,0
