portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,PH - Switcher PT,FedEx,"Delta, BC, CA",https://ca.indeed.com/viewjob?jk=2609c64c5e4baed7,2026-07-13 01:06:15.153000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Medical Lab Technologist (BCGEU), Mid Low Chemistry",LifeLabs,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=417a315f849e198b,2026-07-13 01:06:15.147000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Community Mental Health Worker,Fraserside Community Services Society,"Port Coquitlam, BC, CA",https://ca.indeed.com/viewjob?jk=28d6caa75e193a87,2026-07-13 01:06:15.141000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Administration Assistant,Ten Feet Sports and Entertainment Ltd,"Langley, BC, CA",https://ca.indeed.com/viewjob?jk=8cb6e801011ba48e,2026-07-13 01:06:15.133000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Sales Manager,Service Corporation International,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=139c841cc06d27e0,2026-07-13 01:06:15.126000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Sales Manager,Service Corporation International,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=05e474b9984721c8,2026-07-13 01:06:15.120000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,PPA Sales Manager,Service Corporation International,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=3075b9fc841e4ae9,2026-07-13 01:06:15.115000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Medical Laboratory Assistant,Nova Scotia Health Authority,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=78ab58185866d033,2026-07-13 01:06:15.109000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Building Manager,Cleantech Service Group Ltd.,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=0e38d47c3152d195,2026-07-13 01:06:15.104000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Team Lead,Activate Games,"Coquitlam, BC, CA",https://ca.indeed.com/viewjob?jk=2dd002c352ff1d08,2026-07-13 01:06:15.097000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"On-Site Leader, Vacuum Truck Services",GFL Environmental,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=fcd4e7042c064ef9,2026-07-13 01:06:15.091000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Aircraft Maintenance Engineer - Avionics (Vancouver),PACIFIC COASTAL AIRLINES,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=410bf9b99dccba3d,2026-07-13 01:06:15.084000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Maintenance Assistant (Casual),BAPTIST HOUSING,"White Rock, BC, CA",https://ca.indeed.com/viewjob?jk=38b8ac03baa2228b,2026-07-13 01:06:15.078000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior FX Artist,ICON Creative Studio,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=3304031364e2b67a,2026-07-13 01:06:15.072000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
