portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,"Data Scientist, Product Analytics | Scientifique de données en analyse de produits",Meta,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=bff6afbeba3c75c8,2026-07-13 01:06:14.708000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Expert Animation Programmer (R&D),CD PROJEKT RED,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=28e8697d3e865d24,2026-07-13 01:06:14.590000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,"Software Development Engineer, Charge Calc",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=4cb737ef6f80b937,2026-07-13 01:06:14.545000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Frontend Engineer - AI Products,iCOUNTER,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=fef3d5e37617123b,2026-07-13 01:06:14.540000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Supervisor, Application Development",Seaspan ULC,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=3f92c892b7990c22,2026-07-13 01:06:14.530000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Software Development Engineer, Alexa Connections",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=295618ee6e4836b8,2026-07-13 01:06:14.520000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Cloud Security Developer,Fortinet,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=ad1ea223fe7daf11,2026-07-13 01:06:14.505000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Research Developer (Applied AI), On-Device Inference Program",Electronic Arts,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=7b0cdb3841630cad,2026-07-13 01:06:14.500000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"AI/ML Developer, IT",Canaccord Genuity Corp.,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=99c63b27036dcf17,2026-07-13 01:06:14.496000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Front-End Developer,Norsat International Inc.,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=96f5a4f9f1510dc1,2026-07-13 01:06:14.481000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Imaging Informatics Coordinator P2BI,Provincial Health Services Authority (PHSA),"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=8ba1aded79b4c358,2026-07-13 01:06:14.071000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Software Engineer 4 (Backend Developer),Nutanix,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=f42887c7e91a7699,2026-07-13 01:06:13.812000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Machine Learning Research Engineer,RBC,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=be8e6c387091afa3,2026-07-13 01:06:13.693000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Machine Learning Engineer, AICE - AI Center of Excellence",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=a4fdce8f1fe45a59,2026-07-13 01:06:13.686000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Development Engineer, Alexa Screen Experience",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=89cdb78cce4444bd,2026-07-13 01:06:13.629000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,QA Automation Developer,Thales,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=847002cc7b868cb1,2026-07-13 01:06:13.536000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Software Engineer II - Full Stack,Microsoft,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=b31bce6543013ad2,2026-07-13 01:06:13.530000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Backend Engineer - AI Products,iCOUNTER,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=c733d736e6538bae,2026-07-13 01:06:13.523000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Associate Cloud Developer,BCAA,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=9791be786df60028,2026-07-13 01:06:13.492000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Engineering Coop Student (Computer Science),British Columbia Rapid Transit Company,"Metro Vancouver Regional District, BC, CA",https://ca.indeed.com/viewjob?jk=7a17a7e3fd0d92b2,2026-07-13 01:06:13.455000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Software Integration Engineer (Cybersecurity / Networking),OSI Maritime Systems,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=6c6cb9d1fb479473,2026-07-13 01:06:13.373000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Software Engineer, SCOT-Fulfillment Optimization",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=f7366b8672963b3c,2026-07-13 01:06:13.362000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Engineer, SCOT-Fulfillment Optimization, Outbound Optimization",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=b9f1bb087be138f4,2026-07-13 01:06:13.357000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Digital Technology Specialist,BC Pavco,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=fda9c99dcb871264,2026-07-13 01:06:13.131000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Backend Platform Engineer,"Wix.com, Inc.","Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=f76f9d311c9f3114,2026-07-13 01:06:12.971000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Business Intelligence & Analytics Specialist,Nature's Path Foods,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=d77b801e93daf614,2026-07-13 01:06:12.935000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Production Data Analyst for Feature Animation - ILM Vancouver,Lucasfilm,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=caa6f5370d1be001,2026-07-13 01:06:11.894000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Development Engineer , Amazon Customer Service",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=d75ef9733bcb4076,2026-07-13 01:06:11.707000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
