applied_at_utc,portal,title,company,location,job_host,outcome,proof_id
2026-08-12T02:39:02.743000,workopolis,Full Stack Software Developer,Rolls Right Industries Ltd.,"Vancouver, BC",workopolis.com,applied,a6bef7ed067d
2026-08-12T02:36:33.531000,indeed,Clinic Assistant / Medical Administrative Assistant (MOA),Genetica Medical,"Vancouver, BC, CA",ca.indeed.com,applied,8b8c2d7a1ab5
2026-08-12T02:35:02.985000,indeed,Junior IT Support Specialist,Cloud Collective,"Vancouver, BC, CA",ca.indeed.com,applied,5c890f8596fb
2026-08-12T02:34:27.238000,indeed,Administrative Assistant,HCDF IMMIGRATION INC,"Burnaby, BC, CA",ca.indeed.com,applied,4516a3ac6fd6
2026-08-12T02:31:41.235000,indeed,"Designer/Engineer (FT Permanent, benefits + OT eligible)",SULZER (Rotating Equipment Services),"Burnaby, BC, CA",ca.indeed.com,applied,4e38428f2cdd
2026-08-12T02:31:37.034000,indeed,Environmental Stewardship Administrative Coordinator,Musqueam Indian Band,"Vancouver, BC, CA",ca.indeed.com,applied,89627f4226c2
2026-08-12T01:57:34.320000,linkedin,"Coordinator, Business Intelligence",St. Paul's Foundation,"Vancouver, British Columbia, Canada",linkedin.com,applied,d87482ddd014
2026-08-12T01:47:56.541000,workopolis,Access Control Network Technician,Ozz Electric BC Inc.,"Port Coquitlam, BC",workopolis.com,applied,0b557f68e8c8
2026-08-12T00:47:04.871000,linkedin,Office Administrative Assistant,Horseshoe Bay Health & Performance,"West Vancouver, British Columbia, Canada",linkedin.com,applied,2d8a2c4c9118
2026-08-12T00:45:52.852000,linkedin,Broadcast & Streaming Data Specialist,Knowledge Network Corporation,"Burnaby, British Columbia, Canada",linkedin.com,applied,dc367868028d
2026-08-12T00:42:10.213000,linkedin,Administrative Assistant,Ocean 6 Wealth Advisory,"Vancouver, British Columbia, Canada",linkedin.com,applied,651f3df5d817
2026-08-12T00:37:26.740000,linkedin,Software Development Engineer - Platform,Harvey Nash,"Vancouver, British Columbia, Canada",linkedin.com,applied,0ed43c589767
2026-08-12T00:34:56.964000,indeed,Administrative Assistant,Mechtronics Technology Inc. IMPEG,"Richmond, BC, CA",ca.indeed.com,applied,6e96d8262fa9
2026-08-12T00:17:21.577000,indeed,Administrative Assistant (part-time),Via Plumbing and Heating,"Richmond, BC, CA",ca.indeed.com,applied,dc9db0419bd1
